식품군,식품명,에너지,단백질,지방 ,탄수화물,당류
,,kcal,g,g,g,g
곡류 및 그 제품,"멥쌀 과자, 튀밥, 팽화",404,7.32,1.23,86.73,0.18
곡류 및 그 제품,"멥쌀 국수, 말린것",380,7.2,0.72,82.36,0
곡류 및 그 제품,"멥쌀 국수, 말린것, 삶은것",132,2.59,0.29,28.37,0
곡류 및 그 제품,"멥쌀떡, 가래떡",213,3.71,0.37,48.8,0.09
곡류 및 그 제품,"멥쌀떡, 가래떡, 현미",222,4.88,1.42,47.54,0.25
곡류 및 그 제품,"멥쌀떡, 가래떡, 흑미",217,4.53,1.09,47.4,0.09
곡류 및 그 제품,"멥쌀떡, 개피떡(바람떡)",206,5.32,0.81,44.3,7.62
곡류 및 그 제품,"멥쌀떡, 꿀떡",210,3.09,1.46,46.14,7.39
곡류 및 그 제품,"멥쌀떡, 무지개떡",229,3.5,0.3,53,-
곡류 및 그 제품,"멥쌀떡, 백설기",245,3.99,0.52,53.45,9.61
곡류 및 그 제품,"멥쌀떡, 백설기, 검정콩",229,5.75,1.46,48.31,2.07
곡류 및 그 제품,"멥쌀떡, 송편, 검정콩",214,8.21,3.06,38.49,1.96
곡류 및 그 제품,"멥쌀떡, 송편, 깨",223,5.74,2.53,44.37,6.97
곡류 및 그 제품,"멥쌀떡, 송편, 밤",177,3.56,0.79,38.95,2.67
곡류 및 그 제품,"멥쌀떡, 송편, 팥",200,5.4,0.4,43.6,-
곡류 및 그 제품,"멥쌀떡, 모싯잎송편, 동부",190,5.65,0.66,40.29,3.18
곡류 및 그 제품,"멥쌀떡, 모싯잎송편, 동부(국내산)",190,5.28,0.65,40.68,1.59
곡류 및 그 제품,"멥쌀떡, 모싯잎송편, 동부(수입산)",190,6.03,0.67,39.9,3.18
곡류 및 그 제품,"멥쌀떡, 시루떡, 팥",183,5.83,0.41,38.9,6.18
곡류 및 그 제품,"멥쌀떡, 절편",214,3.69,0.48,48.68,0.1
곡류 및 그 제품,"멥쌀떡, 절편, 쑥",208,4.51,0.73,45.73,0.06
곡류 및 그 제품,"멥쌀떡, 증편",195,3.02,0.43,44.66,8.74
곡류 및 그 제품,"미숫가루, 혼합곡물",412,14.36,5.3,76.69,1.16
곡류 및 그 제품,"밀, 도정, 생것",333,10.6,1,75.8,-
곡류 및 그 제품,"밀, 금강밀, 도정, 생것",329,13.06,1.28,71.7,0
곡류 및 그 제품,"밀, 신미찰밀, 도정, 생것",334,11.3,1.6,74.2,-
곡류 및 그 제품,"밀, 흑밀, 도정, 생것",328,12.9,0.9,72.5,-
곡류 및 그 제품,"밀, 통밀, 생것",342,13.2,1.5,74.6,-
곡류 및 그 제품,"밀, 호라산, 생것",334,13.74,1.91,71.16,4.37
곡류 및 그 제품,"밀, 강력밀가루",334,13.59,1.11,72.89,0
곡류 및 그 제품,"밀, 도넛가루",410,7.98,5.75,77.98,19.53
곡류 및 그 제품,"밀, 박력밀가루",374,9.15,0.94,77.73,0
곡류 및 그 제품,"밀, 부침가루",368,9.8,0.98,75.52,3.49
곡류 및 그 제품,"밀, 빵가루",392,11.95,2.05,77.04,4.74
곡류 및 그 제품,"밀, 중력밀가루",375,10.34,1.01,76.64,0
곡류 및 그 제품,"밀, 통밀가루",347,13.73,2.2,73.77,1.23
곡류 및 그 제품,"밀, 튀김가루",367,7.22,0.8,78.41,0
곡류 및 그 제품,"밀, 팬케이크가루",384,7.75,3.79,79.63,29.14
곡류 및 그 제품,"과자, 건빵",419,9.92,8.67,75.37,16.84
곡류 및 그 제품,"과자, 마늘바게트",480,9.36,20.17,65.3,18.94
곡류 및 그 제품,"과자, 마카로니",457,11.5,13.96,71.28,0.93
곡류 및 그 제품,"과자, 만주, 밤",330,6.35,2.39,70.86,42.45
곡류 및 그 제품,"과자, 모나카",346,3.35,0.29,82.62,36.58
곡류 및 그 제품,"과자, 바닐라 웨하스",512,5.89,24.62,66.68,25.55
곡류 및 그 제품,"과자, 비스킷, 소프트",489,5.7,24.93,60.34,23.46
곡류 및 그 제품,"과자, 비스킷, 하드",534,6.68,28.58,62.63,9.21
곡류 및 그 제품,"과자, 뻥튀기, 원반 모양, 팽화",383,11.06,1.07,82.29,1.74
곡류 및 그 제품,"과자, 사과파이",471,5.5,21,64.98,22.83
곡류 및 그 제품,"과자, 스낵, 밀쌀",447,9.34,10.71,78.38,28.76
곡류 및 그 제품,"과자, 스낵, 새우",494,6.04,22.77,66.32,4
곡류 및 그 제품,"과자, 스낵, 옥수수",520,5.25,26.27,65.73,2.01
곡류 및 그 제품,"과자, 약과",418,5.2,14.3,67.03,10.51
곡류 및 그 제품,"과자, 전병, 김",410,7.48,3.8,86.45,37.87
곡류 및 그 제품,"과자, 전병, 땅콩",407,7.72,2.91,87.43,41.23
곡류 및 그 제품,"과자, 초코볼",501,4.3,22.5,70.2,-
곡류 및 그 제품,"과자, 초코파이",460,5.63,22.26,59.37,32.67
곡류 및 그 제품,"과자, 쿠키, 땅콩버터",493,8.36,20.87,67.97,22.42
곡류 및 그 제품,"과자, 쿠키, 버터",512,6.37,24.52,66.47,16.45
곡류 및 그 제품,"과자, 쿠키, 초코칩",494,5.92,20.55,71.38,23.18
곡류 및 그 제품,"과자, 쿠키, 통밀",471,6.48,17.17,72.73,16.62
곡류 및 그 제품,"과자, 크래커",444,10.4,12.76,71.8,1.19
곡류 및 그 제품,"과자, 크래커, 땅콩샌드",524,7.66,26.24,64.23,14.64
곡류 및 그 제품,"과자, 크래커, 채소",506,7.38,22.62,68.26,12.12
곡류 및 그 제품,"과자, 크래커, 치즈샌드",497,6.08,22.23,68.24,14.69
곡류 및 그 제품,"국수, 생것",291,7.25,0.87,60.09,7.39
곡류 및 그 제품,"국수, 말린것",368,10.38,1.24,74.41,2.57
곡류 및 그 제품,"국수, 말린것, 삶은것",123,3.55,0.44,24.7,0
곡류 및 그 제품,"국수, 소면, 말린것",370,10.36,1.27,74.88,2.58
곡류 및 그 제품,"국수, 소면, 말린것, 삶은것",126,3.55,0.48,25.36,0
곡류 및 그 제품,"국수, 중면, 말린것",366,10.4,1.21,73.94,2.56
곡류 및 그 제품,"국수, 중면, 말린것, 삶은것",120,3.55,0.4,24.04,0
곡류 및 그 제품,"라면, 말린것",432,8.07,13.56,69.52,1.1
곡류 및 그 제품,"라면, 말린것, 삶은것",182,3.7,4.91,30.66,0.31
곡류 및 그 제품,"라면, 용기라면, 말린것",453,7.44,18.04,65.27,0.53
곡류 및 그 제품,"라면, 용기라면, 말린것, 삶은것",187,3.27,7.18,27.4,0.06
곡류 및 그 제품,"마카로니, 말린것",380,12.98,1.53,74.13,2.05
곡류 및 그 제품,"마카로니, 말린것, 삶은것",159,5.5,0.62,30.86,0.67
곡류 및 그 제품,"스파게티면, 말린것",380,12.64,1.47,74.52,2.05
곡류 및 그 제품,"스파게티면, 말린것, 삶은것",197,8.13,0.88,36.83,1.18
곡류 및 그 제품,"에그누들, 말린것",387,13.78,2,73.97,1.63
곡류 및 그 제품,"에그누들, 말린것, 삶은것",116,4.29,1.02,21.1,0.14
곡류 및 그 제품,"우동면, 생것",152,3.15,1.25,30.47,0.34
곡류 및 그 제품,"우동면, 생것, 삶은것",131,2.85,0.46,27.3,0.27
곡류 및 그 제품,"중식면, 생것",293,7.36,1.06,60.03,1.3
곡류 및 그 제품,"중식면, 생것, 삶은것",155,4.09,0.53,31.61,0.57
곡류 및 그 제품,"쫄면, 말린것",348,9.16,1.08,71.29,4.5
